species_original,species_clean,plant_fam_count,plant_gen_count,bee_family,bee_genus
Lasioglossum fulvicorne,Lasioglossum fulvicorne,10,14,Halictidae,Lasioglossum
Lasioglossum hitchensi,Lasioglossum hitchensi,14,19,Halictidae,Lasioglossum
Lasioglossum imitatum,Lasioglossum imitatum,10,15,Halictidae,Lasioglossum
Lasioglossum immunitum,Lasioglossum immunitum,4,11,Halictidae,Lasioglossum
Lasioglossum interruptum,Lasioglossum interruptum,12,19,Halictidae,Lasioglossum
Lasioglossum laevigatum,Lasioglossum laevigatum,13,21,Halictidae,Lasioglossum
Lasioglossum laevissimum,Lasioglossum laevissimum,8,9,Halictidae,Lasioglossum
Lasioglossum laticeps,Lasioglossum laticeps,16,18,Halictidae,Lasioglossum
Lasioglossum lativentre,Lasioglossum lativentre,6,10,Halictidae,Lasioglossum
Lasioglossum leucocomum,Lasioglossum leucocomum,10,16,Halictidae,Lasioglossum
Lasioglossum leucopus,Lasioglossum leucopus,7,12,Halictidae,Lasioglossum
Lasioglossum leucozonium,Lasioglossum leucozonium,6,19,Halictidae,Lasioglossum
Lasioglossum lineatulum,Lasioglossum lineatulum,13,16,Halictidae,Lasioglossum
Lasioglossum lustrans,Lasioglossum lustrans,1,4,Halictidae,Lasioglossum
Lasioglossum macoupinense,Lasioglossum macoupinense,8,10,Halictidae,Lasioglossum
Lasioglossum malachurum,Lasioglossum malachurum,20,45,Halictidae,Lasioglossum
Lasioglossum mandibulare,Lasioglossum mandibulare,4,5,Halictidae,Lasioglossum
Lasioglossum mediterraneum,Lasioglossum mediterraneum,16,18,Halictidae,Lasioglossum
Lasioglossum morio,Lasioglossum morio,19,31,Halictidae,Lasioglossum
Lasioglossum nigripes,Lasioglossum nigripes,6,12,Halictidae,Lasioglossum
Lasioglossum nigroviride,Lasioglossum nigroviride,5,6,Halictidae,Lasioglossum
Lasioglossum nitidulum,Lasioglossum nitidulum,12,13,Halictidae,Lasioglossum
Lasioglossum paradmirandum,Lasioglossum paradmirandum,10,13,Halictidae,Lasioglossum
Lasioglossum paraforbesii,Lasioglossum paraforbesii,8,9,Halictidae,Lasioglossum
Lasioglossum parvulum,Lasioglossum parvulum,12,14,Halictidae,Lasioglossum
Lasioglossum pauperatum,Lasioglossum pauperatum,9,10,Halictidae,Lasioglossum
Lasioglossum pauxillum,Lasioglossum pauxillum,13,33,Halictidae,Lasioglossum
Lasioglossum pectorale,Lasioglossum pectorale,12,25,Halictidae,Lasioglossum
Lasioglossum perpunctatum,Lasioglossum perpunctatum,7,15,Halictidae,Lasioglossum
Lasioglossum pilosum,Lasioglossum pilosum,14,21,Halictidae,Lasioglossum
Lasioglossum politum,Lasioglossum politum,3,3,Halictidae,Lasioglossum
Lasioglossum prasinum,Lasioglossum prasinum,5,5,Halictidae,Lasioglossum
Lasioglossum punctatissimum,Lasioglossum punctatissimum,6,9,Halictidae,Lasioglossum
