"","all_hulls$species","species"
"681","Protosmia minutula","Protosmia minutula"
"682","Pseudoanthidium eximium","Pseudoanthidium eximium"
"683","Pseudoanthidium melanurum","Pseudoanthidium melanurum"
"684","Pseudoanthidium reticulatum","Pseudoanthidium reticulatum"
"685","Pseudoanthidium scapulare","Pseudoanthidium scapulare"
"686","Rhodanthidium aculeatum","Rhodanthidium aculeatum"
"687","Rhodanthidium caturigense","Rhodanthidium caturigense"
"688","Rhodanthidium infuscatum","Rhodanthidium infuscatum"
"689","Rhodanthidium septemdentatum","Rhodanthidium septemdentatum"
"690","Rhodanthidium siculum","Rhodanthidium siculum"
"691","Rhodanthidium sticticum","Rhodanthidium sticticum"
"692","Rhodanthidium superbum","Rhodanthidium superbum"
"693","Stenoheriades asiatica","Stenoheriades asiatica"
"694","Stenoheriades coelostoma","Stenoheriades coelostoma"
"695","Stenoheriades eingeddica","Stenoheriades eingeddica"
"696","Trachusa byssina","Trachusa byssina"
"697","Trachusa dumerlei","Trachusa dumerlei"
"698","Trachusa interrupta","Trachusa interrupta"
"699","Trachusa laticeps","Trachusa laticeps"
"700","Trachusa pubescens","Trachusa pubescens"
"701","Wainia eremoplana","Wainia eremoplana"
"702","Capicola aliciae","Capicola aliciae"
"703","Capicola micheneri","Capicola micheneri"
"704","Capicola nanula","Capicola nanula"
"705","Capicola rufiventris","Capicola rufiventris"
"706","Dasypoda albimana","Dasypoda albimana"
"707","Dasypoda argentata","Dasypoda argentata"
