flag,sp_wood_og,sp_wood_clean,,sp_dorey
,Lasioglossum politum,Lasioglossum politum,,
,Lasioglossum prasinum,Lasioglossum prasinum,,
,Lasioglossum pseudoleptocephalum,Lasioglossum pseudoleptocephalum,,
,Lasioglossum punctatissimum,Lasioglossum punctatissimum,,
,Lasioglossum puncticolle,Lasioglossum puncticolle,,
,Lasioglossum pygmaeum,Lasioglossum pygmaeum,,
,Lasioglossum quebecense,Lasioglossum quebecense,,
,Lasioglossum sexnotatum,Lasioglossum sexnotatum,,
,Lasioglossum smilacinae,Lasioglossum smilacinae,,
,Lasioglossum subhirtum,Lasioglossum subhirtum,,
,Lasioglossum subviridatum,Lasioglossum subviridatum,,
,Lasioglossum tegulare,Lasioglossum tegulare,,
,Lasioglossum timothyi,Lasioglossum timothyi,,
,Lasioglossum truncatum,Lasioglossum truncatum,,
,Lasioglossum versans,Lasioglossum versans,,
,Lasioglossum versatum,Lasioglossum versatum,,
,Lasioglossum vierecki,Lasioglossum vierecki,,
,Lasioglossum villosulum,Lasioglossum villosulum,,
,Lasioglossum virens,Lasioglossum virens,,
,Lasioglossum viride,Lasioglossum viride,,
,Lasioglossum xanthopus,Lasioglossum xanthopus,,
,Lasioglossum zephyrum,Lasioglossum zephyrum,,
,Lasioglossum zonulum,Lasioglossum zonulum,,
,Lithurgus chrysurus,Lithurgus chrysurus,,
,Macropis europaea,Macropis europaea,,
,Macropis fulvipes,Macropis fulvipes,,
,Macropis nuda,Macropis nuda,,
