beeFamily,species,Loads,dietFamily
Megachilidae,Hoplitis prazi,30,2
Megachilidae,Hoplitis ravouxi,34,3
Megachilidae,Hoplitis robusta,41,3
Megachilidae,Hoplitis ruficornis,NA,1
Megachilidae,Hoplitis segura,34,3
Megachilidae,Hoplitis speculum,29,1
Megachilidae,Hoplitis taenioceras,43,1
Megachilidae,Hoplitis tenuiserrata,51,1
Megachilidae,Hoplitis tigrina,11,1
Megachilidae,Hoplitis tuberculata,87,2
Megachilidae,Hoplitis uncaticornis,22,1
Megachilidae,Hoplitis villosa,50,3
Megachilidae,Hoplitis zandeni,29,5
Megachilidae,Hoplitis zonalis,52,1
Megachilidae,Icteranthidium afrum,10,2
Megachilidae,Icteranthidium cimbiciforme,29,1
Megachilidae,Icteranthidium fedtschenkoi,20,1
Megachilidae,Icteranthidium ferrugineum,35,9
Megachilidae,Icteranthidium grohmanni,42,7
Megachilidae,Icteranthidium laterale,51,5
Megachilidae,Icteranthidium limbiferum,20,8
Megachilidae,Lithurgus chrysurus,11,1
Megachilidae,Megachile alpicola,50,6
Megachilidae,Megachile analis,50,3
Megachilidae,Megachile apicalis,30,4
Megachilidae,Megachile argentata,16,5
Megachilidae,Megachile centuncularis,15,8
