bee_species,bee_genus,bee_family,range_size_m2,pollen_genera_count,pollen_families_count,diet_binary_genus,diet_binary_family,no_records_in_Dorey,bee_family_n,bee_species_original_wood
Melissodes subillatus,Melissodes,Apidae,10986367809648,5,1,generalist,specialist,372,Apidae (n = 83),Melissodes subillatus
Lasioglossum laticeps,Lasioglossum,Halictidae,11025648636431,18,16,generalist,generalist,13131,Halictidae (n = 72),Lasioglossum laticeps
Andrena tibialis,Andrena,Andrenidae,11042707923861,11,7,generalist,generalist,3110,Andrenidae (n = 168),Andrena tibialis
Lasioglossum punctatissimum,Lasioglossum,Halictidae,11090460528137,9,6,generalist,generalist,4525,Halictidae (n = 72),Lasioglossum punctatissimum
Lasioglossum pauxillum,Lasioglossum,Halictidae,11252892930055,33,13,generalist,generalist,13733,Halictidae (n = 72),Lasioglossum pauxillum
Andrena minutuloides,Andrena,Andrenidae,11268131494757,17,7,generalist,generalist,3697,Andrenidae (n = 168),Andrena minutuloides
Lasioglossum cinctipes,Lasioglossum,Halictidae,11528334886551,11,9,generalist,generalist,1259,Halictidae (n = 72),Lasioglossum cinctipes
Andrena chrysosceles,Andrena,Andrenidae,11574793439335,23,12,generalist,generalist,5768,Andrenidae (n = 168),Andrena chrysosceles
Andrena salictaria,Andrena,Andrenidae,11590429601295,1,1,genus specialist,specialist,501,Andrenidae (n = 168),Andrena salictaria
Lasioglossum albipes,Lasioglossum,Halictidae,11653643547744,16,8,generalist,generalist,16432,Halictidae (n = 72),Lasioglossum albipes
Agapostemon sericeus,Agapostemon,Halictidae,11680770531734,8,8,generalist,generalist,3271,Halictidae (n = 72),Agapostemon sericeus
Andrena erythrogaster,Andrena,Andrenidae,11716883432472,2,2,generalist,generalist,1672,Andrenidae (n = 168),Andrena erythrogaster
Andrena illinoiensis,Andrena,Andrenidae,11835286331583,1,1,genus specialist,specialist,2141,Andrenidae (n = 168),Andrena illinoiensis
