"","species_original","species","plant_fam_count","plant_gen_count","bee_family","bee_genus","...1","total_area","area","log_fam","log_gen","log_area","bee_family_n","area_ha","log_area_ha","area_km","log_area_km"
"98","Andrena nigrihirta","Andrena nigrihirta",5,6,"Andrenidae","Andrena",136,26733549125314.8,26733549125314.8,1.6094379124341,1.79175946922805,30.9169404141196,"Andrenidae (n = 168)",2673354912.53148,21.7066000421434,26733549.1253148,17.1014298561553
"99","Andrena nigroaenea","Andrena nigroaenea",17,36,"Andrenidae","Andrena",137,21859037856743.5,21859037856743.5,2.83321334405622,3.58351893845611,30.7156355838356,"Andrenidae (n = 168)",2185903785.67435,21.5052952118595,21859037.8567435,16.9001250258714
"100","Andrena nigroviridula","Andrena nigroviridula",1,3,"Andrenidae","Andrena",140,254226589160.243,254226589160.243,0,1.09861228866811,26.2614917896032,"Andrenidae (n = 168)",25422658.9160243,17.051151417627,254226.589160243,12.4459812316389
"101","Andrena nitida","Andrena nitida",21,35,"Andrenidae","Andrena",142,24789645745705.7,24789645745705.7,3.04452243772342,3.55534806148941,30.841447171664,"Andrenidae (n = 168)",2478964574.57057,21.6311067996878,24789645.7457057,17.0259366136997
"102","Andrena nitidula","Andrena nitidula",1,3,"Andrenidae","Andrena",143,972215590289.698,972215590289.698,0,1.09861228866811,27.6028434175223,"Andrenidae (n = 168)",97221559.0289698,18.3925030455461,972215.590289698,13.787332859558
"103","Andrena nivalis","Andrena nivalis",8,10,"Andrenidae","Andrena",144,18446988000721.5,18446988000721.5,2.07944154167984,2.30258509299405,30.5459222210946,"Andrenidae (n = 168)",1844698800.07215,21.3355818491184,18446988.0007215,16.7304116631303
"104","Andrena niveata","Andrena niveata",3,5,"Andrenidae","Andrena",145,5321590783866.75,5321590783866.75,1.09861228866811,1.6094379124341,29.3027933941085,"Andrenidae (n = 168)",532159078.386675,20.0924530221323,5321590.78386675,15.4872828361442
"105","Andrena nubecula","Andrena nubecula",1,1,"Andrenidae","Andrena",146,9357851721550.74,9357851721550.74,0,0,29.8672368631467,"Andrenidae (n = 168)",935785172.155074,20.6568964911705,9357851.72155074,16.0517263051824
"106","Andrena nuda","Andrena nuda",7,11,"Andrenidae","Andrena",147,6723670540399.74,6723670540399.74,1.94591014905531,2.39789527279837,29.5366553327135,"Andrenidae (n = 168)",672367054.039974,20.3263149607373,6723670.54039974,15.7211447747492
"107","Andrena numida","Andrena numida",2,4,"Andrenidae","Andrena",148,171416510928.781,171416510928.781,0.693147180559945,1.38629436111989,25.8673621682769,"Andrenidae (n = 168)",17141651.0928781,16.6570217963007,171416.510928781,12.0518516103126
"108","Andrena omnilaevis","Andrena omnilaevis",1,1,"Andrenidae","Andrena",149,1563745237.05262,1563745237.05262,0,0,21.1703495738911,"Andrenidae (n = 168)",156374.523705262,11.9600092019149,1563.74523705262,7.35483901592684
"109","Andrena orbitalis","Andrena orbitalis",1,1,"Andrenidae","Andrena",150,1058600917919.98,1058600917919.98,0,0,27.6879692634774,"Andrenidae (n = 168)",105860091.791998,18.4776288915012,1058600.91791998,13.8724587055131
"110","Andrena ovatula","Andrena ovatula",2,14,"Andrenidae","Andrena",151,10175279587292,10175279587292,0.693147180559945,2.63905732961526,29.9509823247462,"Andrenidae (n = 168)",1017527958.7292,20.74064195277,10175279.587292,16.135471766782
