"","species","total_area","count"
"566","Osmia nigriventris",93994788642129.7,888
"567","Osmia nigrohirta",42014393194.1759,6
"568","Osmia niveata",10136307153999.8,1066
"569","Osmia padri",6250173432.62609,4
"570","Osmia parietina",44027977416717.3,1735
"571","Osmia pedicornis",2304403211012.32,16
"572","Osmia pilicornis",5527789945475.55,731
"573","Osmia pinguis",301894363603.678,22
"574","Osmia pumila",6159886784853.66,5810
"575","Osmia rhodoensis",61055311746.2202,5
"576","Osmia ribifloris",5969074035130.95,1657
"577","Osmia scheherazade",6475155.31241369,12
"578","Osmia scutellaris",881640016660.43,91
"579","Osmia spinigera",786895016592.405,10
"580","Osmia spinulosa",18553544695761.4,3062
"581","Osmia steinmanni",21708568228.7709,17
"582","Osmia taurus",28626444262630.1,2773
"583","Osmia tergestensis",3032998647328.34,151
"584","Osmia tricornis",2474955947880.28,123
"585","Osmia uncicornis",27544305521.7083,6
"586","Osmia uncinata",46612613169607.4,1154
"587","Osmia xanthomelana",5638412568992.58,1031
"588","Othinosmia schultzei",222570588084.477,107
"589","Panurginus albopilosus",923439272657.018,10
"590","Panurginus herzi",384050096658.961,249
"591","Panurginus montanus",215846259211.805,336
"592","Panurgus banksianus",6178682996048.66,3364
"593","Panurgus calcaratus",22152855275238,7941
"594","Panurgus canescens",544561470020.412,13
"595","Panurgus cephalotes",295058008015.569,9
"596","Panurgus dentipes",2269809990198.5,1072
"597","Panurgus maroccanus",94985061055.5641,86
"598","Panurgus perezi",101465017500.661,5
"599","Patellapis communis",103924536640.281,87
"600","Peponapis michelbacherorum",68396361597.6337,78
"601","Peponapis pruinosa",14113834601016.7,4477
"602","Peponapis utahensis",2212017995552.99,312
"603","Perdita floridensis",324107697428.128,117
